exchange,shortname,symbol,longname,sector,industry,origin,type,currency
NYQ,Aon plc,AON,Aon plc,Financial Services,Insurance Brokers,alpaca,stock,USD
NMS,"Mondelez International, Inc.",MDLZ,"Mondelez International, Inc.",Consumer Defensive,Confectioners,alpaca,stock,USD
NYQ,"Williams Companies, Inc. (The)",WMB,"The Williams Companies, Inc.",Energy,Oil & Gas Midstream,alpaca,stock,USD
NYQ,Corning Incorporated,GLW,Corning Incorporated,Technology,Electronic Components,alpaca,stock,USD
NMS,Marriott International,MAR,"Marriott International, Inc.",Consumer Cyclical,Lodging,alpaca,stock,USD
NYQ,TE Connectivity plc,TEL,TE Connectivity plc,Technology,Electronic Components,alpaca,stock,USD
NYQ,Ecolab Inc.,ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,alpaca,stock,USD
NMS,"Warner Bros. Discovery, Inc. - ",WBD,"Warner Bros. Discovery, Inc.",Communication Services,Entertainment,alpaca,stock,USD
NYQ,Royal Caribbean Cruises Ltd.,RCL,Royal Caribbean Cruises Ltd.,Consumer Cyclical,Travel Services,alpaca,stock,USD
NYQ,Hilton Worldwide Holdings Inc.,HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Lodging,alpaca,stock,USD
NMS,Seagate Technology Holdings PLC,STX,Seagate Technology Holdings plc,Technology,Computer Hardware,alpaca,stock,USD
NYQ,SLB Limited,SLB,SLB N.V.,Energy,Oil & Gas Equipment & Services,alpaca,stock,USD
NYQ,Illinois Tool Works Inc.,ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,alpaca,stock,USD
NYQ,Johnson Controls International ,JCI,Johnson Controls International plc,Industrials,Building Products & Equipment,alpaca,stock,USD
NYQ,"Cencora, Inc.",COR,"Cencora, Inc.",Healthcare,Medical Distribution,alpaca,stock,USD
NYQ,Colgate-Palmolive Company,CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,alpaca,stock,USD
NYQ,FedEx Corporation,FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,alpaca,stock,USD
NMS,CSX Corporation,CSX,CSX Corporation,Industrials,Railroads,alpaca,stock,USD
NYQ,"Apollo Global Management, Inc. ",APO,"Apollo Global Management, Inc.",Financial Services,Asset Management,alpaca,stock,USD
NMS,Cintas Corporation,CTAS,Cintas Corporation,Industrials,Specialty Business Services,alpaca,stock,USD
NYQ,"Quanta Services, Inc.",PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction,alpaca,stock,USD
NYQ,Arthur J. Gallagher & Co.,AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,alpaca,stock,USD
NYQ,"Motorola Solutions, Inc.",MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,alpaca,stock,USD
NYQ,Norfolk Southern Corporation,NSC,Norfolk Southern Corporation,Industrials,Railroads,alpaca,stock,USD
NYQ,Carvana Co.,CVNA,Carvana Co.,Consumer Cyclical,Auto & Truck Dealerships,alpaca,stock,USD
NYQ,Truist Financial Corporation,TFC,Truist Financial Corporation,Financial Services,Banks—Regional,alpaca,stock,USD
NMS,PACCAR Inc.,PCAR,PACCAR Inc,Industrials,Farm & Heavy Construction Machinery,alpaca,stock,USD
NMS,American Electric Power Company,AEP,"American Electric Power Company, Inc.",Utilities,Utilities—Regulated Electric,alpaca,stock,USD
NYQ,"L3Harris Technologies, Inc.",LHX,"L3Harris Technologies, Inc.",Industrials,Aerospace & Defense,alpaca,stock,USD
NMS,"Ross Stores, Inc.",ROST,"Ross Stores, Inc.",Consumer Cyclical,Apparel Retail,alpaca,stock,USD
NYQ,"The Travelers Companies, Inc.",TRV,"The Travelers Companies, Inc.",Financial Services,Insurance—Property & Casualty,alpaca,stock,USD
NMS,NXP Semiconductors N.V.,NXPI,NXP Semiconductors N.V.,Technology,Semiconductors,alpaca,stock,USD
NYQ,DBA Sempra,SRE,Sempra,Utilities,Utilities—Diversified,alpaca,stock,USD
NYQ,"Becton, Dickinson and Company",BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,alpaca,stock,USD
NYQ,"Simon Property Group, Inc.",SPG,"Simon Property Group, Inc.",Real Estate,REIT—Retail,alpaca,stock,USD
NYQ,"Air Products and Chemicals, Inc",APD,"Air Products and Chemicals, Inc.",Basic Materials,Specialty Chemicals,alpaca,stock,USD
NYQ,"United Rentals, Inc.",URI,"United Rentals, Inc.",Industrials,Rental & Leasing Services,alpaca,stock,USD
NYQ,"EOG Resources, Inc.",EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,alpaca,stock,USD
NYQ,"AutoZone, Inc.",AZO,"AutoZone, Inc.",Consumer Cyclical,Auto Parts,alpaca,stock,USD
NYQ,Vistra Corp.,VST,Vistra Corp.,Utilities,Utilities—Independent Power Producers,alpaca,stock,USD
NMS,Sandisk Corporation,SNDK,Sandisk Corporation,Technology,Computer Hardware,alpaca,stock,USD
NMS,"IDEXX Laboratories, Inc.",IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research,alpaca,stock,USD
NYQ,Phillips 66,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,alpaca,stock,USD
NMS,"Airbnb, Inc.",ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,alpaca,stock,USD
NYQ,Valero Energy Corporation,VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,alpaca,stock,USD
NMS,"Autodesk, Inc.",ADSK,"Autodesk, Inc.",Technology,Software—Application,alpaca,stock,USD
NYQ,Realty Income Corporation,O,Realty Income Corporation,Real Estate,REIT—Retail,alpaca,stock,USD
NMS,Monster Beverage Corporation,MNST,Monster Beverage Corporation,Consumer Defensive,Beverages—Non-Alcoholic,alpaca,stock,USD
NYQ,Zoetis Inc.,ZTS,Zoetis Inc.,Healthcare,Drug Manufacturers—Specialty & Generic,alpaca,stock,USD
NMS,"Coinbase Global, Inc. - 3",COIN,"Coinbase Global, Inc.",Financial Services,Financial Data & Stock Exchanges,alpaca,stock,USD
NYQ,Ford Motor Company,F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,alpaca,stock,USD
NYQ,"Kinder Morgan, Inc.",KMI,"Kinder Morgan, Inc.",Energy,Oil & Gas Midstream,alpaca,stock,USD
NYQ,Marathon Petroleum Corporation,MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,alpaca,stock,USD
NYQ,"Chipotle Mexican Grill, Inc.",CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants,alpaca,stock,USD
NMS,"PayPal Holdings, Inc.",PYPL,"PayPal Holdings, Inc.",Financial Services,Credit Services,alpaca,stock,USD
NYQ,"Digital Realty Trust, Inc.",DLR,"Digital Realty Trust, Inc.",Real Estate,REIT—Specialty,alpaca,stock,USD
NYQ,AFLAC Incorporated,AFL,Aflac Incorporated,Financial Services,Insurance—Life,alpaca,stock,USD
NYQ,"Dominion Energy, Inc.",D,"Dominion Energy, Inc.",Utilities,Utilities—Regulated Electric,alpaca,stock,USD
NMS,Baker Hughes Company,BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,alpaca,stock,USD
NYQ,Allstate Corporation (The),ALL,The Allstate Corporation,Financial Services,Insurance—Property & Casualty,alpaca,stock,USD
NYQ,"Cardinal Health, Inc.",CAH,"Cardinal Health, Inc.",Healthcare,Medical Distribution,alpaca,stock,USD
NYQ,Target Corporation,TGT,Target Corporation,Consumer Defensive,Discount Stores,alpaca,stock,USD
NMS,"Axon Enterprise, Inc.",AXON,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,alpaca,stock,USD
NYQ,CBRE Group Inc,CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,alpaca,stock,USD
NMS,Fastenal Company,FAST,Fastenal Company,Industrials,Industrial Distribution,alpaca,stock,USD
NYQ,"AMETEK, Inc.",AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,alpaca,stock,USD
NYQ,Edwards Lifesciences Corporatio,EW,Edwards Lifesciences Corporation,Healthcare,Medical Devices,alpaca,stock,USD
NMS,"Monolithic Power Systems, Inc.",MPWR,"Monolithic Power Systems, Inc.",Technology,Semiconductors,alpaca,stock,USD
NMS,"Fortinet, Inc.",FTNT,"Fortinet, Inc.",Technology,Software—Infrastructure,alpaca,stock,USD
NYQ,"Corteva, Inc.",CTVA,"Corteva, Inc.",Basic Materials,Agricultural Inputs,alpaca,stock,USD
NYQ,"Ameriprise Financial, Inc.",AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,alpaca,stock,USD
NYQ,"Rockwell Automation, Inc.",ROK,"Rockwell Automation, Inc.",Industrials,Specialty Industrial Machinery,alpaca,stock,USD
NYQ,"W.W. Grainger, Inc.",GWW,"W.W. Grainger, Inc.",Industrials,Industrial Distribution,alpaca,stock,USD
NYQ,Public Storage,PSA,Public Storage,Real Estate,REIT—Industrial,alpaca,stock,USD
NYQ,"Delta Air Lines, Inc.",DAL,"Delta Air Lines, Inc.",Industrials,Airlines,alpaca,stock,USD
NYQ,"ONEOK, Inc.",OKE,"ONEOK, Inc.",Energy,Oil & Gas Midstream,alpaca,stock,USD
NMS,Electronic Arts Inc.,EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,alpaca,stock,USD
NMS,"Nasdaq, Inc.",NDAQ,"Nasdaq, Inc.",Financial Services,Financial Data & Stock Exchanges,alpaca,stock,USD
NYQ,MSCI Inc.,MSCI,MSCI Inc.,Financial Services,Financial Data & Stock Exchanges,alpaca,stock,USD
NYQ,"Yum! Brands, Inc.",YUM,"Yum! Brands, Inc.",Consumer Cyclical,Restaurants,alpaca,stock,USD
NMS,Exelon Corporation,EXC,Exelon Corporation,Utilities,Utilities—Regulated Electric,alpaca,stock,USD
NMS,"Roper Technologies, Inc.",ROP,"Roper Technologies, Inc.",Technology,Software—Application,alpaca,stock,USD
NMS,Xcel Energy Inc.,XEL,Xcel Energy Inc.,Utilities,Utilities—Regulated Electric,alpaca,stock,USD
NYQ,"D.R. Horton, Inc.",DHI,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,alpaca,stock,USD
NYQ,Carrier Global Corporation,CARR,Carrier Global Corporation,Industrials,Building Products & Equipment,alpaca,stock,USD
NMS,eBay Inc.,EBAY,eBay Inc.,Consumer Cyclical,Internet Retail,alpaca,stock,USD
NYQ,"MetLife, Inc.",MET,"MetLife, Inc.",Financial Services,Insurance—Life,alpaca,stock,USD
NYQ,Entergy Corporation,ETR,Entergy Corporation,Utilities,Utilities—Regulated Electric,alpaca,stock,USD
NMS,"Take-Two Interactive Software, ",TTWO,"Take-Two Interactive Software, Inc.",Communication Services,Electronic Gaming & Multimedia,alpaca,stock,USD
NYQ,"Republic Services, Inc.",RSG,"Republic Services, Inc.",Industrials,Waste Management,alpaca,stock,USD
NMS,"Workday, Inc.",WDAY,"Workday, Inc.",Technology,Software—Application,alpaca,stock,USD
NYQ,"IQVIA Holdings, Inc.",IQV,IQVIA Holdings Inc.,Healthcare,Diagnostics & Research,alpaca,stock,USD
NYQ,"Agilent Technologies, Inc.",A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,alpaca,stock,USD
NMS,Cognizant Technology Solutions ,CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,alpaca,stock,USD
NYQ,"Prudential Financial, Inc.",PRU,"Prudential Financial, Inc.",Financial Services,Insurance—Life,alpaca,stock,USD
NMS,Microchip Technology Incorporat,MCHP,Microchip Technology Incorporated,Technology,Semiconductors,alpaca,stock,USD
NYQ,Nucor Corporation,NUE,Nucor Corporation,Basic Materials,Steel,alpaca,stock,USD
NYQ,"American International Group, I",AIG,"American International Group, Inc.",Financial Services,Insurance—Diversified,alpaca,stock,USD
NYQ,Vulcan Materials Company (Holdi,VMC,Vulcan Materials Company,Basic Materials,Building Materials,alpaca,stock,USD
NYQ,Public Service Enterprise Group,PEG,Public Service Enterprise Group Incorporated,Utilities,Utilities—Regulated Electric,alpaca,stock,USD
NYQ,Crown Castle Inc.,CCI,Crown Castle Inc.,Real Estate,REIT—Specialty,alpaca,stock,USD
NMS,"Datadog, Inc.",DDOG,"Datadog, Inc.",Technology,Software—Application,alpaca,stock,USD
NYQ,Westinghouse Air Brake Technolo,WAB,Westinghouse Air Brake Technologies Corporation,Industrials,Railroads,alpaca,stock,USD
NYQ,"Targa Resources, Inc.",TRGP,Targa Resources Corp.,Energy,Oil & Gas Midstream,alpaca,stock,USD
NYQ,"Martin Marietta Materials, Inc.",MLM,"Martin Marietta Materials, Inc.",Basic Materials,Building Materials,alpaca,stock,USD
NYQ,"Comfort Systems USA, Inc.",FIX,"Comfort Systems USA, Inc.",Industrials,Engineering & Construction,alpaca,stock,USD
NYQ,Kroger Company (The),KR,The Kroger Co.,Consumer Defensive,Grocery Stores,alpaca,stock,USD
NYQ,State Street Corporation,STT,State Street Corporation,Financial Services,Asset Management,alpaca,stock,USD
NYQ,ResMed Inc.,RMD,ResMed Inc.,Healthcare,Medical Instruments & Supplies,alpaca,stock,USD
NYQ,Sysco Corporation,SYY,Sysco Corporation,Consumer Defensive,Food Distribution,alpaca,stock,USD
NMS,Keurig Dr Pepper Inc.,KDP,Keurig Dr Pepper Inc.,Consumer Defensive,Beverages—Non-Alcoholic,alpaca,stock,USD
NMS,GE HealthCare Technologies Inc.,GEHC,GE HealthCare Technologies Inc.,Healthcare,Medical Devices,alpaca,stock,USD
NMS,"United Airlines Holdings, Inc.",UAL,"United Airlines Holdings, Inc.",Industrials,Airlines,alpaca,stock,USD
NYQ,Fair Isaac Corporation,FICO,Fair Isaac Corporation,Technology,Software—Application,alpaca,stock,USD
NYQ,"Consolidated Edison, Inc.",ED,"Consolidated Edison, Inc.",Utilities,Utilities—Regulated Electric,alpaca,stock,USD
NYQ,Keysight Technologies Inc.,KEYS,"Keysight Technologies, Inc.",Technology,Scientific & Technical Instruments,alpaca,stock,USD
NMS,"Copart, Inc.",CPRT,"Copart, Inc.",Industrials,Specialty Business Services,alpaca,stock,USD
NYQ,"The Hartford Insurance Group, I",HIG,"The Hartford Insurance Group, Inc.",Financial Services,Insurance—Diversified,alpaca,stock,USD
NYQ,"Ventas, Inc.",VTR,"Ventas, Inc.",Real Estate,REIT—Healthcare Facilities,alpaca,stock,USD
NYQ,Dell Technologies Inc.,DELL,Dell Technologies Inc.,Technology,Computer Hardware,alpaca,stock,USD
NMS,"Fiserv, Inc.",FISV,"Fiserv, Inc.",Technology,Information Technology Services,alpaca,stock,USD
NMS,"Paychex, Inc.",PAYX,"Paychex, Inc.",Technology,Software—Application,alpaca,stock,USD
NMS,"Teradyne, Inc.",TER,"Teradyne, Inc.",Technology,Semiconductor Equipment & Materials,alpaca,stock,USD
NYQ,"Block, Inc.",XYZ,"Block, Inc.",Technology,Software—Infrastructure,alpaca,stock,USD
NYQ,Xylem Inc.,XYL,Xylem Inc.,Industrials,Specialty Industrial Machinery,alpaca,stock,USD
NYQ,Otis Worldwide Corporation,OTIS,Otis Worldwide Corporation,Industrials,Specialty Industrial Machinery,alpaca,stock,USD
NYQ,"WEC Energy Group, Inc.",WEC,"WEC Energy Group, Inc.",Utilities,Utilities—Regulated Electric,alpaca,stock,USD
NYQ,Ares Management Corporation,ARES,Ares Management Corporation,Financial Services,Asset Management,alpaca,stock,USD
NYQ,Garmin Ltd.,GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments,alpaca,stock,USD
NYQ,Pacific Gas & Electric Co.,PCG,PG&E Corporation,Utilities,Utilities—Regulated Electric,alpaca,stock,USD
NMS,"Expedia Group, Inc.",EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,alpaca,stock,USD
NYQ,Humana Inc.,HUM,Humana Inc.,Healthcare,Healthcare Plans,alpaca,stock,USD
NYQ,Dollar General Corporation,DG,Dollar General Corporation,Consumer Defensive,Discount Stores,alpaca,stock,USD
NMS,Kimberly-Clark Corporation,KMB,Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products,alpaca,stock,USD
NYQ,Kenvue Inc.,KVUE,Kenvue Inc.,Consumer Defensive,Household & Personal Products,alpaca,stock,USD
NYQ,Fidelity National Information S,FIS,"Fidelity National Information Services, Inc.",Technology,Information Technology Services,alpaca,stock,USD
NMS,Arch Capital Group Ltd.,ACGL,Arch Capital Group Ltd.,Financial Services,Insurance—Diversified,alpaca,stock,USD
NMS,"Interactive Brokers Group, Inc.",IBKR,"Interactive Brokers Group, Inc.",Financial Services,Capital Markets,alpaca,stock,USD
NMS,"Old Dominion Freight Line, Inc.",ODFL,"Old Dominion Freight Line, Inc.",Industrials,Trucking,alpaca,stock,USD
NYQ,M&T Bank Corporation,MTB,M&T Bank Corporation,Financial Services,Banks—Regional,alpaca,stock,USD
NMS,Fifth Third Bancorp,FITB,Fifth Third Bancorp,Financial Services,Banks—Regional,alpaca,stock,USD
NYQ,Archer-Daniels-Midland Company,ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,alpaca,stock,USD
NYQ,Carnival Corporation,CCL,Carnival Corporation & plc,Consumer Cyclical,Travel Services,alpaca,stock,USD
NMS,Willis Towers Watson Public Lim,WTW,Willis Towers Watson Public Limited Company,Financial Services,Insurance Brokers,alpaca,stock,USD
NYQ,Ingersoll Rand Inc.,IR,Ingersoll Rand Inc.,Industrials,Specialty Industrial Machinery,alpaca,stock,USD
NYQ,Extra Space Storage Inc,EXR,Extra Space Storage Inc.,Real Estate,REIT—Industrial,alpaca,stock,USD
NYQ,EQT Corporation,EQT,EQT Corporation,Energy,Oil & Gas E&P,alpaca,stock,USD
NYQ,Occidental Petroleum Corporatio,OXY,Occidental Petroleum Corporation,Energy,Oil & Gas E&P,alpaca,stock,USD
NMS,"Verisk Analytics, Inc.",VRSK,"Verisk Analytics, Inc.",Industrials,Consulting Services,alpaca,stock,USD
NYQ,"Mettler-Toledo International, I",MTD,Mettler-Toledo International Inc.,Healthcare,Diagnostics & Research,alpaca,stock,USD
NYQ,"EMCOR Group, Inc.",EME,"EMCOR Group, Inc.",Industrials,Engineering & Construction,alpaca,stock,USD
NYQ,"NRG Energy, Inc.",NRG,"NRG Energy, Inc.",Utilities,Utilities—Independent Power Producers,alpaca,stock,USD
NYQ,VICI Properties Inc.,VICI,VICI Properties Inc.,Real Estate,REIT—Diversified,alpaca,stock,USD
NYQ,"Raymond James Financial, Inc.",RJF,"Raymond James Financial, Inc.",Financial Services,Asset Management,alpaca,stock,USD
NMS,"Ulta Beauty, Inc.",ULTA,"Ulta Beauty, Inc.",Consumer Cyclical,Specialty Retail,alpaca,stock,USD
NYQ,The Hershey Company,HSY,The Hershey Company,Consumer Defensive,Confectioners,alpaca,stock,USD
NYQ,Hewlett Packard Enterprise Comp,HPE,Hewlett Packard Enterprise Company,Technology,Communication Equipment,alpaca,stock,USD
NYQ,"Estee Lauder Companies, Inc. (T",EL,The Estée Lauder Companies Inc.,Consumer Defensive,Household & Personal Products,alpaca,stock,USD
BTS,"Cboe Global Markets, Inc.",CBOE,"Cboe Global Markets, Inc.",Financial Services,Financial Data & Stock Exchanges,alpaca,stock,USD
NMS,Huntington Bancshares Incorpora,HBAN,Huntington Bancshares Incorporated,Financial Services,Banks—Regional,alpaca,stock,USD
NYQ,Dover Corporation,DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,alpaca,stock,USD
NMS,"Diamondback Energy, Inc.",FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,alpaca,stock,USD
NYQ,Synchrony Financial,SYF,Synchrony Financial,Financial Services,Credit Services,alpaca,stock,USD
NYQ,DTE Energy Company,DTE,DTE Energy Company,Utilities,Utilities—Regulated Electric,alpaca,stock,USD
NYQ,Ameren Corporation,AEE,Ameren Corporation,Utilities,Utilities—Regulated Electric,alpaca,stock,USD
NMS,Northern Trust Corporation,NTRS,Northern Trust Corporation,Financial Services,Asset Management,alpaca,stock,USD
NYQ,Halliburton Company,HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services,alpaca,stock,USD
NYQ,Iron Mountain Incorporated (Del,IRM,Iron Mountain Incorporated,Real Estate,REIT—Specialty,alpaca,stock,USD
NYQ,Atmos Energy Corporation,ATO,Atmos Energy Corporation,Utilities,Utilities—Regulated Gas,alpaca,stock,USD
NYQ,"Tapestry, Inc.",TPR,"Tapestry, Inc.",Consumer Cyclical,Luxury Goods,alpaca,stock,USD
NYQ,Jabil Inc.,JBL,Jabil Inc.,Technology,Electronic Components,alpaca,stock,USD
NMS,"DexCom, Inc.",DXCM,"DexCom, Inc.",Healthcare,Medical Devices,alpaca,stock,USD
NMS,"CoStar Group, Inc.",CSGP,"CoStar Group, Inc.",Real Estate,Real Estate Services,alpaca,stock,USD
NYQ,"Equifax, Inc.",EFX,Equifax Inc.,Industrials,Consulting Services,alpaca,stock,USD
NMS,Tractor Supply Company,TSCO,Tractor Supply Company,Consumer Cyclical,Specialty Retail,alpaca,stock,USD
NMS,"Dollar Tree, Inc.",DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,alpaca,stock,USD
NYQ,Teledyne Technologies Incorpora,TDY,Teledyne Technologies Incorporated,Technology,Scientific & Technical Instruments,alpaca,stock,USD
NYQ,PPL Corporation,PPL,PPL Corporation,Utilities,Utilities—Regulated Electric,alpaca,stock,USD
NYQ,Lennar Corporation,LEN,Lennar Corporation,Consumer Cyclical,Residential Construction,alpaca,stock,USD
NYQ,STERIS plc (Ireland),STE,STERIS plc,Healthcare,Medical Devices,alpaca,stock,USD
NYQ,Eversource Energy (D/B/A),ES,Eversource Energy,Utilities,Utilities—Regulated Electric,alpaca,stock,USD
NMS,"First Solar, Inc.",FSLR,"First Solar, Inc.",Technology,Solar,alpaca,stock,USD
NYQ,"Citizens Financial Group, Inc.",CFG,"Citizens Financial Group, Inc.",Financial Services,Banks—Regional,alpaca,stock,USD
NYQ,"American Water Works Company, I",AWK,"American Water Works Company, Inc.",Utilities,Utilities—Regulated Water,alpaca,stock,USD
NYQ,"PulteGroup, Inc.",PHM,"PulteGroup, Inc.",Consumer Cyclical,Residential Construction,alpaca,stock,USD
NYQ,Omnicom Group Inc.,OMC,Omnicom Group Inc.,Communication Services,Advertising Agencies,alpaca,stock,USD
NYQ,Hubbell Inc,HUBB,Hubbell Incorporated,Industrials,Electrical Equipment & Parts,alpaca,stock,USD
NYQ,"CenterPoint Energy, Inc (Holdin",CNP,"CenterPoint Energy, Inc.",Utilities,Utilities—Regulated Electric,alpaca,stock,USD
NYQ,"Broadridge Financial Solutions,",BR,"Broadridge Financial Solutions, Inc.",Technology,Information Technology Services,alpaca,stock,USD
NYQ,Veralto Corp,VLTO,Veralto Corporation,Industrials,Pollution & Treatment Controls,alpaca,stock,USD
NYQ,"Williams-Sonoma, Inc.",WSM,"Williams-Sonoma, Inc.",Consumer Cyclical,Specialty Retail,alpaca,stock,USD
NYQ,"AvalonBay Communities, Inc.",AVB,"AvalonBay Communities, Inc.",Real Estate,REIT—Residential,alpaca,stock,USD
NMS,Cincinnati Financial Corporatio,CINF,Cincinnati Financial Corporation,Financial Services,Insurance—Property & Casualty,alpaca,stock,USD
NYQ,Regions Financial Corporation,RF,Regions Financial Corporation,Financial Services,Banks—Regional,alpaca,stock,USD
NYQ,"Darden Restaurants, Inc.",DRI,"Darden Restaurants, Inc.",Consumer Cyclical,Restaurants,alpaca,stock,USD
NYQ,"Leidos Holdings, Inc.",LDOS,"Leidos Holdings, Inc.",Technology,Information Technology Services,alpaca,stock,USD
NMS,Biogen Inc.,BIIB,Biogen Inc.,Healthcare,Drug Manufacturers—General,alpaca,stock,USD
NYQ,"PPG Industries, Inc.",PPG,"PPG Industries, Inc.",Basic Materials,Specialty Chemicals,alpaca,stock,USD
NYQ,"General Mills, Inc.",GIS,"General Mills, Inc.",Consumer Defensive,Packaged Foods,alpaca,stock,USD
NMS,ON Semiconductor Corporation,ON,ON Semiconductor Corporation,Technology,Semiconductors,alpaca,stock,USD
NYQ,FirstEnergy Corp.,FE,FirstEnergy Corp.,Utilities,Utilities—Regulated Electric,alpaca,stock,USD
NMS,"Steel Dynamics, Inc.",STLD,"Steel Dynamics, Inc.",Basic Materials,Steel,alpaca,stock,USD
NMS,Expand Energy Corporation,EXE,Expand Energy Corporation,Energy,Oil & Gas E&P,alpaca,stock,USD
NYQ,Edison International,EIX,Edison International,Utilities,Utilities—Regulated Electric,alpaca,stock,USD
NYQ,Waters Corporation,WAT,Waters Corporation,Healthcare,Diagnostics & Research,alpaca,stock,USD
NMS,"T. Rowe Price Group, Inc.",TROW,"T. Rowe Price Group, Inc.",Financial Services,Asset Management,alpaca,stock,USD
NYQ,"Brown & Brown, Inc.",BRO,"Brown & Brown, Inc.",Financial Services,Insurance Brokers,alpaca,stock,USD
NYQ,"Corpay, Inc.",CPAY,"Corpay, Inc.",Technology,Software—Infrastructure,alpaca,stock,USD
NYQ,International Paper Company,IP,International Paper Company,Consumer Cyclical,Packaging & Containers,alpaca,stock,USD
NYQ,"Live Nation Entertainment, Inc.",LYV,"Live Nation Entertainment, Inc.",Communication Services,Entertainment,alpaca,stock,USD
NYQ,Devon Energy Corporation,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,alpaca,stock,USD
NYQ,Smurfit WestRock plc,SW,Smurfit Westrock Plc,Consumer Cyclical,Packaging & Containers,alpaca,stock,USD
NYQ,"Constellation Brands, Inc.",STZ,"Constellation Brands, Inc.",Consumer Defensive,Beverages—Brewers,alpaca,stock,USD
NYQ,Southwest Airlines Company,LUV,Southwest Airlines Co.,Industrials,Airlines,alpaca,stock,USD
NYQ,Labcorp Holdings Inc.,LH,Labcorp Holdings Inc.,Healthcare,Diagnostics & Research,alpaca,stock,USD
NMS,lululemon athletica inc.,LULU,lululemon athletica inc.,Consumer Cyclical,Apparel Retail,alpaca,stock,USD
NYQ,Centene Corporation,CNC,Centene Corporation,Healthcare,Healthcare Plans,alpaca,stock,USD
NYQ,Expeditors International of Was,EXPD,"Expeditors International of Washington, Inc.",Industrials,Integrated Freight & Logistics,alpaca,stock,USD
NYQ,"Church & Dwight Company, Inc.",CHD,"Church & Dwight Co., Inc.",Consumer Defensive,Household & Personal Products,alpaca,stock,USD
NMS,"NetApp, Inc.",NTAP,"NetApp, Inc.",Technology,Software—Infrastructure,alpaca,stock,USD
NYQ,CMS Energy Corporation,CMS,CMS Energy Corporation,Utilities,Utilities—Regulated Electric,alpaca,stock,USD
NYQ,"NVR, Inc.",NVR,"NVR, Inc.",Consumer Cyclical,Residential Construction,alpaca,stock,USD
NYQ,Equity Residential,EQR,Equity Residential,Real Estate,REIT—Residential,alpaca,stock,USD
NYQ,Quest Diagnostics Incorporated,DGX,Quest Diagnostics Incorporated,Healthcare,Diagnostics & Research,alpaca,stock,USD
NMS,"VeriSign, Inc.",VRSN,"VeriSign, Inc.",Technology,Software—Infrastructure,alpaca,stock,USD
NYQ,NiSource Inc,NI,NiSource Inc.,Utilities,Utilities—Regulated Gas,alpaca,stock,USD
NMS,"C.H. Robinson Worldwide, Inc.",CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics,alpaca,stock,USD
NMS,The Kraft Heinz Company,KHC,The Kraft Heinz Company,Consumer Defensive,Packaged Foods,alpaca,stock,USD
NYQ,W.R. Berkley Corporation,WRB,W. R. Berkley Corporation,Financial Services,Insurance—Property & Casualty,alpaca,stock,USD
NYQ,Amcor plc,AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,alpaca,stock,USD
NYQ,Albemarle Corporation,ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,alpaca,stock,USD
NMS,SBA Communications Corporation,SBAC,SBA Communications Corporation,Real Estate,REIT—Specialty,alpaca,stock,USD
