exchange,shortname,symbol,longname,sector,industry,origin,type,currency
SHH,CHINA EVERBRIGHT BANK CO LTD,601818.SS,China Everbright Bank Company Limited,Financial Services,Banks—Regional,yfinance,stock,CNY
SHH,OMNIVISION INTEGRATED CIRCUITS ,603501.SS,"OmniVision Integrated Circuits Group, Inc.",Technology,Semiconductors,yfinance,stock,CNY
SHH,JIANGSU HENGLI HYDRAULIC CO LTD,601100.SS,"Jiangsu Hengli Hydraulic Co.,Ltd",Industrials,Specialty Industrial Machinery,yfinance,stock,CNY
SHH,ZHEJIANG HUAYOU COBALT CO LTD,603799.SS,"Zhejiang Huayou Cobalt Co., Ltd",Basic Materials,Other Industrial Metals & Mining,yfinance,stock,CNY
SHH,TBEA CO LTD,600089.SS,"TBEA Co., Ltd.",Industrials,Electrical Equipment & Parts,yfinance,stock,CNY
SHH,BANK OF SHANGHAI CO LTD,601229.SS,"Bank of Shanghai Co., Ltd.",Financial Services,Banks—Regional,yfinance,stock,CNY
SHH,LONGI GREEN ENERGY TECHNOLOGY C,601012.SS,"LONGi Green Energy Technology Co., Ltd.",Technology,Semiconductor Equipment & Materials,yfinance,stock,CNY
SHH,EASTROC BEVERAGE (GROUP) CO LTD,605499.SS,"Eastroc Beverage(Group) Co., Ltd.",Consumer Defensive,Beverages—Non-Alcoholic,yfinance,stock,CNY
SHH,CHINA LIFE INSURANCE CO,601628.SS,China Life Insurance Company Limited,Financial Services,Insurance—Life,yfinance,stock,CNY
SHH,CHINA MINSHENG BANKING CORP,600016.SS,"China Minsheng Banking Corp., Ltd.",Financial Services,Banks—Regional,yfinance,stock,CNY
SHH,BANK OF NANJING CO. LTD.,601009.SS,"Bank of Nanjing Co., Ltd.",Financial Services,Banks—Regional,yfinance,stock,CNY
SHH,ZHONGJIN GOLD CO,600489.SS,"Zhongjin Gold Corp.,Ltd",Basic Materials,Gold,yfinance,stock,CNY
SHH,CHINA MERCHANTS SECURITIES CO L,600999.SS,"China Merchants Securities Co., Ltd.",Financial Services,Capital Markets,yfinance,stock,CNY
SHH,NINGBO TUOPU GROUP CO LTD,601689.SS,"Ningbo Tuopu Group Co.,Ltd.",Consumer Cyclical,Auto Parts,yfinance,stock,CNY
HKG,CHINA VANKE,2202.HK,"China Vanke Co., Ltd.",Real Estate,Real Estate—Development,yfinance,stock,HKD
SHH,SHANGHAI UNITED IMAGING HEALTHC,688271.SS,"Shanghai United Imaging Healthcare Co., Ltd.",Healthcare,Medical Devices,yfinance,stock,CNY
SHH,INNER MONGOLIA BAOTOU STEEL UNI,600010.SS,"Inner Mongolia Baotou Steel Union Co., Ltd.",Basic Materials,Steel,yfinance,stock,CNY
SHH,JIANGXI COPPER CO,600362.SS,Jiangxi Copper Company Limited,Basic Materials,Copper,yfinance,stock,CNY
SHH,CHINA THREE GORGES RENEWABLES,600905.SS,"China Three Gorges Renewables (Group) Co.,Ltd.",Utilities,Utilities—Renewable,yfinance,stock,CNY
SHH,FUYAO GLASS INDUSTRY GROUP CO. ,600660.SS,"Fuyao Glass Industry Group Co., Ltd.",Consumer Cyclical,Auto Parts,yfinance,stock,CNY
SHH,SHANGHAI ELECTRIC HOLDING GROUP,601727.SS,"Shanghai Electric Group Co., Ltd.",Industrials,Specialty Industrial Machinery,yfinance,stock,CNY
SHH,SAIC MOTOR CORPORATION LIMITED,600104.SS,SAIC Motor Corporation Limited,Consumer Cyclical,Auto Manufacturers,yfinance,stock,CNY
SHH,CHINA GALAXY SECURITIES CO,601881.SS,"China Galaxy Securities Co., Ltd.",Financial Services,Financial Conglomerates,yfinance,stock,CNY
